file,name,name_kaytetye,audio,phrases,phrases_kaytetye,phrases_english
103_ngangkaye.png,Healer,Ngangkaye,103_ngangkaye.mp3,103phrase_ngangkaye.mp3,"Ngangkaye ntethe arenawe, tyangkwerre ayenge artnweyenteyane aleme angkwerre, atnentye angkwerre apeke awe, tyarlenye nyarte atyenge ape arewene, ngangkayele.","Traditional healer, can you see the cause of the pain? I have a pain in my stomach, my throat and in my arm. Traditional healer can you check me?"
104_arntetye.png,Sick,Arntetye,104_arntetye.mp3,104phrase_arntetye.mp3,"Awe ye, ayengepe arntetye arrenhe, nyartepe entweyane.","Yes, I got sick, that's why I'm lying down."
105_ngkwelty-arenye.png,Money-hungry,Ngkwelty-arenye ,105_ngkwelty-arenye.mp3,105phrase_ngkwelty-arenye mp3,Ngkweltyewe nyartepe etarrerane ngkweltye apeke nthelarte atyenge etnyewethe.,That person might be thinking about giving me money.
106_pwerrketnherrantye.png,Snoring ,Pwerrketnherrantyenke,106_pwerrketnherrantye.mp3,106phrase_pwerrketnherrantye.mp3,Atnkwe ayenge enwenhe ilwekerele atye pwerrketnheyayne penhe. Rarle ayenge atyewarrelke arrelp-arrenhe.,Dear me I was asleep snoring! But now I've woken up.
107_erlkwetharrerane.png,Spew,Erlkwetharrerane,107_erlkwetharrerane.mp3,107phrase_erlkwetharrerane.mp3,"Erlkwetharrenhawe, apale atye atnwenthe aynenye, something ntweperte apeke, nharte ayenge erlkwetharrenhelke, amenge impentye apeke atye aynenye.","I'm going to vomit because unwittingly I ate something bad, maybe the meat was flyblown."
108_artnweyenenke.png,In pain,Artnweyenenke,108_artnweyenenke.mp3,108phrase_artnweyenenke.mp3,"Nyarte ayenge ake artnweyenteyane, aherrkelarle ayenge ampenhe.",I'm paining in the head from the sun.
109_akarntetye.png,Headache,Akarntetye,109_akarntetye.mp3,109phrase_akarntetye.mp3,"Ake ayenge arntetyawe, artnweyenteyane.",I've got a headache.
110_akngwe.png,Mad,Akngwe,110_akngwe.mp3,110phrase_akngwe.mp3,"Artweye nthewarte angkentyelawe, akngwe nhartepe ilwekerange, aynewantheyenge akngwe nyartepe.","Don't talk about that man, he's mad, our poor relative."
111_awelengke.png,Angry,Awelengke,111_awelengke.mp3,111phrase_awelengke.mp3,"Awelengkarle atewenhanthe althileyayne, awelengke inengele.",The angry people were fighting. They were an angry mob.
112_althere_arrerane.png,Homesick,Altherarrerane,112_althere_arrerane.mp3,112phrase_althere_arrerane.mp3,Mpelarte altherarrenke ayenge alpewethe ayenge apmerarle.,I'm homesick I want to go back home.
